,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7
139,0,3,0,0,0,0,19,6,50,7,9,3,15,6,15,14,14,58,25,22,19,8,9,7,12,10,12,10,16,12,12,25,41,14,20,6,19,9,13,11,13,12,14,21,53,38,11,9,14,15,6,6,5,10,0
140,0,0,0,0,0,5,31,35,38,30,35,19,25,24,51,28,39,32,43,27,34,50,34,25,56,19,37,31,34,29,53,28,43,44,46,46,32,35,37,35,44,37,30,44,30,32,43,24,37,45,47,25,32,32,0
141,1,0,0,1,0,3,32,37,37,25,32,33,22,31,44,32,37,30,27,44,28,36,39,28,43,36,48,31,35,34,49,36,23,41,22,30,35,22,35,32,35,31,42,35,31,44,57,11,39,34,34,28,24,24,0
142,1,2,0,3,0,3,63,47,2,2,3,40,48,23,11,16,18,46,71,65,66,75,79,70,70,41,77,68,69,58,61,73,61,80,79,80,73,42,69,69,86,78,72,67,59,69,96,60,47,67,72,50,54,59,0
143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,8,3,7,12,2,4,2,6,2,5,3,4,7,4,4,5,8,8,4,9,2,9,7,12,10,6,4,9,6,4,7,6,4,9,2,0
144,1,0,0,0,0,0,1,4,5,8,8,1,1,5,6,4,5,4,4,3,4,4,4,8,2,1,5,5,4,4,2,1,5,5,2,1,4,6,1,2,4,5,5,6,7,10,4,6,4,3,2,2,5,1,0
145,0,0,0,0,0,0,22,9,11,12,16,12,21,19,12,15,8,13,9,9,10,12,11,10,8,6,10,15,11,13,9,8,7,10,13,3,9,14,10,11,14,12,19,16,11,2,6,7,1,1,2,1,0,0,0
146,0,0,0,0,0,1,3,3,6,6,3,4,2,2,0,3,4,6,2,4,3,15,7,2,13,6,8,7,8,2,6,8,3,6,5,33,32,9,5,4,4,5,5,4,3,5,9,3,8,6,7,2,2,1,0
147,0,0,0,0,0,1,9,7,12,7,8,4,7,10,8,9,7,8,11,6,4,9,6,0,9,5,9,10,9,9,4,3,14,8,4,2,11,6,12,3,20,14,3,9,5,4,5,3,11,5,8,13,6,3,0
148,0,0,0,0,0,0,3,7,7,9,5,3,6,8,7,10,8,3,8,6,9,8,7,5,9,6,10,10,7,1,4,5,4,9,8,9,9,6,12,4,8,6,7,7,5,11,5,7,5,11,6,4,6,3,0
149,0,0,0,0,0,0,8,9,11,20,4,9,5,6,15,9,10,9,6,4,7,5,8,3,15,1,17,12,13,15,9,13,10,10,10,2,12,6,10,14,12,7,4,11,11,12,12,6,11,3,13,5,9,4,0
150,0,0,0,0,0,0,6,8,6,6,10,10,4,7,12,9,8,4,6,15,12,8,10,10,10,10,15,12,8,8,11,2,0,0,2,4,15,11,5,9,4,10,14,12,11,11,10,10,10,11,9,7,15,3,0
