;Name;Status;2016;2017;2018;2019;2020
Cần Thơ;Cái Răng;Urban District;100265.30108;101946.19723;103655.27273;105393;107130.72727
Cần Thơ;Cờ Đỏ;District;118631.50964;117942.34395;117257.18182;116576;115894.81818
Cần Thơ;Ninh Kiều;Urban District;270603.49118;273860.95743;277157.63636;280494;283830.36364
Cần Thơ;Ô Môn;Urban District;128951.55868;128859.97409;128768.45455;128677;128585.54545
Cần Thơ;Phong Điền;District;98670.75137;98588.43226;98506.18182;98424;98341.81818
Cần Thơ;Thới Lai;District;112789.21472;111744.49624;110709.45455;109684;108658.54545
Cần Thơ;Thốt Nốt;Urban District;156142.67429;155881.34573;155620.45455;155360;155099.54545
Cần Thơ;Vĩnh Thạnh;District;102303.1624;100984.85995;99683.54545;98399;97114.45455
Cao Bằng;Cao Bằng;Province;524050.22029;526138.81176;528235.72727;530341;532446.27273
Cao Bằng;Bảo Lạc;District;53052.16824;53504.24884;53960.18182;54420;54879.81818
Cao Bằng;Bảo Lâm;District;62577.54675;63382.95399;64198.72727;65025;65851.27273
Cao Bằng;Cao Bằng;District-level City;71148.59783;71939.89857;72740;73549;74358
Cao Bằng;Hạ Lang;District;25399.47503;25412.64319;25425.81818;25439;25452.18182
Cao Bằng;Hà Quảng;District;33913.21864;33994.28515;34075.54545;34157;34238.45455
Cao Bằng;Hòa An;District;52859.6966;52827.11098;52794.54545;52762;52729.45455
Cao Bằng;Nguyên Bình;District;39590.21605;39611.46596;39632.72727;39654;39675.27273
Cao Bằng;Phục Hòa;District;22756.40633;22788.22637;22820.09091;22852;22883.90909
Cao Bằng;Quảng Uyên;District;38486.9096;38350.12081;38213.81818;38078;37942.18182
Cao Bằng;Thạch An;District;30023.0957;29955.24391;29887.54545;29820;29752.45455
Cao Bằng;Thông Nông;District;23706.89412;23765.78301;23824.81818;23884;23943.18182
Cao Bằng;Trà Lĩnh;District;21694.76756;21711.83161;21728.90909;21746;21763.09091
Cao Bằng;Trùng Khánh;District;48889.02966;48911.00989;48933;48955;48977
Đắk Lắk;Đắk Lắk;Province;1832557.1471;1844731.0463;1856985.81818;1869322;1881658.18182
Đắk Lắk;Buôn Đôn;District;63087.54861;63473.00585;63860.81818;64251;64641.18182
Đắk Lắk;Buôn Hồ;District-level Town;98174.77885;98360.16893;98545.90909;98732;98918.09091
Đắk Lắk;Buôn Ma Thuột;District-level City;362263.08009;366651.99901;371094.09091;375590;380085.90909
Đắk Lắk;Cư Kuin;District;100785.15857;100938.87116;101092.81818;101247;101401.18182
Đắk Lắk;Cư M'gar;District;173825.19726;175081.6937;176347.27273;177622;178896.72727
Đắk Lắk;Ea H'leo;District;132586.06328;134002.19616;135433.45455;136880;138326.54545
Đắk Lắk;Ea Kar;District;143601.03228;143883.46567;144166.45455;144450;144733.54545
Đắk Lắk;Ea Súp;District;67463.16695;68533.05443;69619.90909;70724;71828.09091
Đắk Lắk;Krông Ana;District;80197.29715;80095.40203;79993.63636;79892;79790.36364
Đắk Lắk;Krông Bông;District;90727.33978;91170.72285;91616.27273;92064;92511.72727
Đắk Lắk;Krông Búk;District;62842.44952;63507.56862;64179.72727;64859;65538.27273
